"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2951157";"2016";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.9";"";"";"20.5";"23.3";"1578";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"2951249";"2016";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"14.1";"";"";"12.0";"16.3";"397";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"2951757";"2016";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.7";"";"";"15.5";"17.9";"1835";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"2951299";"2016";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"23.9";"";"";"21.7";"26.2";"1110";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"2951513";"2016";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"13.3";"";"";"12.5";"14.1";"1670";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"2951926";"2016";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.5";"";"";"17.6";"19.4";"2681";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"2951954";"2016";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.9";"";"";"14.8";"16.9";"1789";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"2951685";"2016";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.7";"";"";"14.9";"18.5";"668";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
"2952097";"2016";"DC";"District of Columbia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.6";"";"";"15.0";"18.2";"605";"Overall";"Overall";"ADDEPEV2";"11";"11";"";"";"";"";"";""
"2952508";"2016";"FL";"Florida";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"14.2";"";"";"13.4";"15.0";"5835";"Overall";"Overall";"ADDEPEV2";"12";"12";"";"";"";"";"";""
"2952858";"2016";"GA";"Georgia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.5";"";"";"15.1";"17.8";"909";"Overall";"Overall";"ADDEPEV2";"13";"13";"";"";"";"";"";""
"2952560";"2016";"HI";"Hawaii";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"12.2";"";"";"11.1";"13.2";"1082";"Overall";"Overall";"ADDEPEV2";"14";"14";"";"";"";"";"";""
"2952907";"2016";"ID";"Idaho";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.5";"";"";"14.0";"17.0";"814";"Overall";"Overall";"ADDEPEV2";"15";"15";"";"";"";"";"";""
"2952321";"2016";"IL";"Illinois";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.6";"";"";"15.1";"18.0";"778";"Overall";"Overall";"ADDEPEV2";"16";"16";"";"";"";"";"";""
"2953154";"2016";"IN";"Indiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.0";"";"";"14.9";"17.1";"1678";"Overall";"Overall";"ADDEPEV2";"17";"17";"";"";"";"";"";""
"2952985";"2016";"IA";"Iowa";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.1";"";"";"13.9";"16.3";"984";"Overall";"Overall";"ADDEPEV2";"18";"18";"";"";"";"";"";""
"2952685";"2016";"KS";"Kansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.6";"";"";"15.7";"17.6";"2020";"Overall";"Overall";"ADDEPEV2";"19";"19";"";"";"";"";"";""
"2953195";"2016";"KY";"Kentucky";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"23.3";"";"";"22.0";"24.6";"2384";"Overall";"Overall";"ADDEPEV2";"20";"20";"";"";"";"";"";""
"2953510";"2016";"LA";"Louisiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"19.9";"";"";"18.0";"21.7";"1029";"Overall";"Overall";"ADDEPEV2";"21";"21";"";"";"";"";"";""
"2953957";"2016";"ME";"Maine";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"22.0";"";"";"20.4";"23.6";"1914";"Overall";"Overall";"ADDEPEV2";"22";"22";"";"";"";"";"";""
"2953563";"2016";"MD";"Maryland";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.4";"";"";"14.6";"16.3";"3013";"Overall";"Overall";"ADDEPEV2";"23";"23";"";"";"";"";"";""
"2954004";"2016";"MA";"Massachusetts";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"19.0";"";"";"17.8";"20.2";"1579";"Overall";"Overall";"ADDEPEV2";"24";"24";"";"";"";"";"";""
"2953416";"2016";"MI";"Michigan";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"22.3";"";"";"21.3";"23.4";"2587";"Overall";"Overall";"ADDEPEV2";"25";"25";"";"";"";"";"";""
"2953733";"2016";"MN";"Minnesota";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"17.5";"";"";"16.7";"18.2";"2873";"Overall";"Overall";"ADDEPEV2";"26";"26";"";"";"";"";"";""
"2954080";"2016";"MS";"Mississippi";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.7";"";"";"17.2";"20.2";"960";"Overall";"Overall";"ADDEPEV2";"27";"27";"";"";"";"";"";""
"2953880";"2016";"MO";"Missouri";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.7";"";"";"20.1";"23.4";"1488";"Overall";"Overall";"ADDEPEV2";"28";"28";"";"";"";"";"";""
"2954775";"2016";"MT";"Montana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"19.7";"";"";"18.1";"21.3";"1095";"Overall";"Overall";"ADDEPEV2";"29";"29";"";"";"";"";"";""
"2954221";"2016";"NE";"Nebraska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"17.9";"";"";"16.9";"19.0";"2547";"Overall";"Overall";"ADDEPEV2";"30";"30";"";"";"";"";"";""
"2954534";"2016";"NV";"Nevada";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"17.1";"";"";"15.4";"18.9";"723";"Overall";"Overall";"ADDEPEV2";"31";"31";"";"";"";"";"";""
"2954272";"2016";"NH";"New Hampshire";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"23.2";"";"";"21.4";"25.1";"1307";"Overall";"Overall";"ADDEPEV2";"32";"32";"";"";"";"";"";""
"2954583";"2016";"NJ";"New Jersey";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"12.1";"";"";"10.8";"13.4";"1013";"Overall";"Overall";"ADDEPEV2";"33";"33";"";"";"";"";"";""
"2954995";"2016";"NM";"New Mexico";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.3";"";"";"16.7";"19.9";"1031";"Overall";"Overall";"ADDEPEV2";"34";"34";"";"";"";"";"";""
"2954731";"2016";"NY";"New York";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"11.7";"";"";"11.0";"12.4";"5038";"Overall";"Overall";"ADDEPEV2";"35";"35";"";"";"";"";"";""
"2955143";"2016";"NC";"North Carolina";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.2";"";"";"17.0";"19.4";"1252";"Overall";"Overall";"ADDEPEV2";"36";"36";"";"";"";"";"";""
"2955265";"2016";"ND";"North Dakota";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.1";"";"";"13.8";"16.5";"742";"Overall";"Overall";"ADDEPEV2";"37";"37";"";"";"";"";"";""
"2955771";"2016";"OH";"Ohio";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"17.7";"";"";"16.6";"18.9";"2108";"Overall";"Overall";"ADDEPEV2";"38";"38";"";"";"";"";"";""
"2955315";"2016";"OK";"Oklahoma";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"22.1";"";"";"20.7";"23.5";"1468";"Overall";"Overall";"ADDEPEV2";"39";"39";"";"";"";"";"";""
"2955627";"2016";"OR";"Oregon";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"25.5";"";"";"24.1";"27.0";"1314";"Overall";"Overall";"ADDEPEV2";"40";"40";"";"";"";"";"";""
"2955366";"2016";"PA";"Pennsylvania";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"19.1";"";"";"17.8";"20.5";"1266";"Overall";"Overall";"ADDEPEV2";"41";"41";"";"";"";"";"";""
"2956064";"2016";"RI";"Rhode Island";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"22.6";"";"";"20.7";"24.4";"1213";"Overall";"Overall";"ADDEPEV2";"42";"42";"";"";"";"";"";""
"2955703";"2016";"SC";"South Carolina";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"20.3";"";"";"19.1";"21.4";"2298";"Overall";"Overall";"ADDEPEV2";"43";"43";"";"";"";"";"";""
"2955925";"2016";"SD";"South Dakota";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.9";"";"";"14.2";"17.6";"892";"Overall";"Overall";"ADDEPEV2";"44";"44";"";"";"";"";"";""
"2956433";"2016";"TN";"Tennessee";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.1";"";"";"19.6";"22.7";"1375";"Overall";"Overall";"ADDEPEV2";"45";"45";"";"";"";"";"";""
"2956883";"2016";"TX";"Texas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"12.4";"";"";"11.3";"13.5";"1549";"Overall";"Overall";"ADDEPEV2";"46";"46";"";"";"";"";"";""
