"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2464563","2014","US","All States, DC and Territories (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.7","","","","","53","Overall","Overall","ADDEPEV2","1","1","","","","","",""
"2464909","2014","UW","All States and DC (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.0","","","","","51","Overall","Overall","ADDEPEV2","2","2","","","","","",""
"2270612","2014","AL","Alabama","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.3","","","20.1","22.5","1961","Overall","Overall","ADDEPEV2","3","3","","","","","",""
"2275040","2014","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.6","","","14.0","17.1","717","Overall","Overall","ADDEPEV2","4","4","","","","","",""
"2277703","2014","AZ","Arizona","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.7","","","17.6","19.8","2809","Overall","Overall","ADDEPEV2","5","5","","","","","",""
"2281642","2014","AR","Arkansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.5","","","19.8","23.3","1111","Overall","Overall","ADDEPEV2","6","6","","","","","",""
"2285474","2014","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","13.3","","","12.4","14.2","1317","Overall","Overall","ADDEPEV2","7","7","","","","","",""
"2288728","2014","CO","Colorado","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.0","","","16.2","17.9","2301","Overall","Overall","ADDEPEV2","8","8","","","","","",""
"2293218","2014","CT","Connecticut","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.3","","","17.1","19.5","1440","Overall","Overall","ADDEPEV2","9","9","","","","","",""
"2297153","2014","DE","Delaware","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.3","","","16.6","20.0","802","Overall","Overall","ADDEPEV2","10","10","","","","","",""
"2300358","2014","DC","District of Columbia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.1","","","15.9","20.3","664","Overall","Overall","ADDEPEV2","11","11","","","","","",""
"2304299","2014","FL","Florida","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.2","","","15.2","17.2","1640","Overall","Overall","ADDEPEV2","12","12","","","","","",""
"2307741","2014","GA","Georgia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.3","","","17.0","19.7","1243","Overall","Overall","ADDEPEV2","13","13","","","","","",""
"2310775","2014","HI","Hawaii","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","10.7","","","9.8","11.7","924","Overall","Overall","ADDEPEV2","14","14","","","","","",""
"2315368","2014","ID","Idaho","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.5","","","18.0","21.0","1117","Overall","Overall","ADDEPEV2","15","15","","","","","",""
"2318544","2014","IL","Illinois","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.7","","","15.3","18.1","820","Overall","Overall","ADDEPEV2","16","16","","","","","",""
"2322409","2014","IN","Indiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.7","","","19.7","21.7","2323","Overall","Overall","ADDEPEV2","17","17","","","","","",""
"2326442","2014","IA","Iowa","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.7","","","17.5","19.9","1460","Overall","Overall","ADDEPEV2","18","18","","","","","",""
"2330263","2014","KS","Kansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.6","","","17.8","19.4","2589","Overall","Overall","ADDEPEV2","19","19","","","","","",""
"2333365","2014","KY","Kentucky","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.9","","","22.5","25.3","2627","Overall","Overall","ADDEPEV2","20","20","","","","","",""
"2337219","2014","LA","Louisiana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.7","","","17.5","19.8","1324","Overall","Overall","ADDEPEV2","21","21","","","","","",""
"2341111","2014","ME","Maine","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.7","","","22.5","24.9","2074","Overall","Overall","ADDEPEV2","22","22","","","","","",""
"2344047","2014","MD","Maryland","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.9","","","14.7","17.1","2197","Overall","Overall","ADDEPEV2","23","23","","","","","",""
"2347716","2014","MA","Massachusetts","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.7","","","20.6","22.7","3447","Overall","Overall","ADDEPEV2","24","24","","","","","",""
"2352175","2014","MI","Michigan","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.5","","","19.3","21.6","1641","Overall","Overall","ADDEPEV2","25","25","","","","","",""
"2355087","2014","MN","Minnesota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.2","","","17.4","18.9","3050","Overall","Overall","ADDEPEV2","26","26","","","","","",""
"2358789","2014","MS","Mississippi","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.9","","","18.2","21.7","814","Overall","Overall","ADDEPEV2","27","27","","","","","",""
"2363311","2014","MO","Missouri","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.7","","","20.3","23.2","1501","Overall","Overall","ADDEPEV2","28","28","","","","","",""
"2366004","2014","MT","Montana","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.4","","","19.1","21.8","1464","Overall","Overall","ADDEPEV2","29","29","","","","","",""
"2369759","2014","NE","Nebraska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.9","18.5","3813","Overall","Overall","ADDEPEV2","30","30","","","","","",""
"2374279","2014","NV","Nevada","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.6","","","13.8","17.4","658","Overall","Overall","ADDEPEV2","31","31","","","","","",""
"2377718","2014","NH","New Hampshire","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.0","","","19.5","22.6","1293","Overall","Overall","ADDEPEV2","32","32","","","","","",""
"2380704","2014","NJ","New Jersey","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","13.4","","","12.5","14.3","1878","Overall","Overall","ADDEPEV2","33","33","","","","","",""
"2384836","2014","NM","New Mexico","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.1","","","19.8","22.4","1833","Overall","Overall","ADDEPEV2","34","34","","","","","",""
"2388671","2014","NY","New York","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.9","","","14.8","17.0","1128","Overall","Overall","ADDEPEV2","35","35","","","","","",""
"2392451","2014","NC","North Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.0","","","17.9","20.1","1430","Overall","Overall","ADDEPEV2","36","36","","","","","",""
"2395563","2014","ND","North Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.3","","","15.9","18.7","1200","Overall","Overall","ADDEPEV2","37","37","","","","","",""
"2399901","2014","OH","Ohio","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.9","","","19.6","22.1","2289","Overall","Overall","ADDEPEV2","38","38","","","","","",""
"2402720","2014","OK","Oklahoma","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.8","","","20.7","23.0","1874","Overall","Overall","ADDEPEV2","39","39","","","","","",""
"2406562","2014","OR","Oregon","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","24.0","","","22.4","25.5","1268","Overall","Overall","ADDEPEV2","40","40","","","","","",""
"2410527","2014","PA","Pennsylvania","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.7","","","18.6","20.7","2184","Overall","Overall","ADDEPEV2","41","41","","","","","",""
"2413959","2014","RI","Rhode Island","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.6","","","19.2","22.1","1343","Overall","Overall","ADDEPEV2","42","42","","","","","",""
"2418085","2014","SC","South Carolina","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","19.9","","","18.8","20.9","2157","Overall","Overall","ADDEPEV2","43","43","","","","","",""
"2421762","2014","SD","South Dakota","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.6","","","15.0","18.1","1168","Overall","Overall","ADDEPEV2","44","44","","","","","",""
"2424828","2014","TN","Tennessee","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.4","","","19.7","23.0","1142","Overall","Overall","ADDEPEV2","45","45","","","","","",""
"2428613","2014","TX","Texas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","14.6","","","13.7","15.5","2588","Overall","Overall","ADDEPEV2","46","46","","","","","",""
"2433009","2014","UT","Utah","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.7","","","19.9","21.5","3110","Overall","Overall","ADDEPEV2","47","47","","","","","",""
"2435822","2014","VT","Vermont","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.8","","","20.6","23.0","1428","Overall","Overall","ADDEPEV2","48","48","","","","","",""
"2440127","2014","VA","Virginia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.4","","","16.3","18.4","1660","Overall","Overall","ADDEPEV2","49","49","","","","","",""
"2443883","2014","WA","Washington","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.6","","","20.5","22.7","2271","Overall","Overall","ADDEPEV2","50","50","","","","","",""
