"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2926286";"2012";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.6";"";"";"20.3";"22.9";"2088";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"2926781";"2012";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.6";"";"";"15.0";"18.2";"754";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"2926869";"2012";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.8";"";"";"17.2";"20.3";"1327";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"2926957";"2012";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"22.2";"";"";"20.5";"23.8";"1131";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"2927045";"2012";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"11.5";"";"";"10.7";"12.2";"1988";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"2927133";"2012";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"17.1";"";"";"16.2";"18.1";"2105";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"2926629";"2012";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.6";"";"";"15.4";"17.8";"1519";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"2927497";"2012";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"14.6";"";"";"13.2";"16.0";"799";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
"2927198";"2012";"DC";"District of Columbia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.3";"";"";"14.4";"18.2";"601";"Overall";"Overall";"ADDEPEV2";"11";"11";"";"";"";"";"";""
"2927776";"2012";"FL";"Florida";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"17.0";"";"";"15.5";"18.5";"1352";"Overall";"Overall";"ADDEPEV2";"12";"12";"";"";"";"";"";""
