"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2270418","2013","US","All States, DC and Territories (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.7","","","","","53","Overall","Overall","ADDEPEV2","1","1","","","","","",""
"2270252","2013","UW","All States and DC (median) **","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.7","","","","","51","Overall","Overall","ADDEPEV2","2","2","","","","","",""
"2068783","2013","AL","Alabama","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","21.8","","","20.4","23.2","1578","Overall","Overall","ADDEPEV2","3","3","","","","","",""
"2071648","2013","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.3","","","14.8","17.8","778","Overall","Overall","ADDEPEV2","4","4","","","","","",""
"2075969","2013","AZ","Arizona","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.1","","","16.1","20.0","845","Overall","Overall","ADDEPEV2","5","5","","","","","",""
"2080273","2013","AR","Arkansas","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","23.1","","","21.5","24.8","1183","Overall","Overall","ADDEPEV2","6","6","","","","","",""
"2083587","2013","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","13.1","","","12.3","13.9","1757","Overall","Overall","ADDEPEV2","7","7","","","","","",""
"2087927","2013","CO","Colorado","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","18.2","","","17.3","19.0","2485","Overall","Overall","ADDEPEV2","8","8","","","","","",""
"2090903","2013","CT","Connecticut","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.5","","","16.2","18.7","1454","Overall","Overall","ADDEPEV2","9","9","","","","","",""
"2094848","2013","DE","Delaware","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.7","","","16.3","19.1","973","Overall","Overall","ADDEPEV2","10","10","","","","","",""
"2098882","2013","DC","District of Columbia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.9","","","18.9","22.9","934","Overall","Overall","ADDEPEV2","11","11","","","","","",""
"2102606","2013","FL","Florida","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","16.8","","","15.9","17.6","6612","Overall","Overall","ADDEPEV2","12","12","","","","","",""
"2106506","2013","GA","Georgia","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","17.3","","","16.2","18.5","1493","Overall","Overall","ADDEPEV2","13","13","","","","","",""
"2110831","2013","HI","Hawaii","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","11.4","","","10.4","12.4","1022","Overall","Overall","ADDEPEV2","14","14","","","","","",""
"2114081","2013","ID","Idaho","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","20.8","","","19.3","22.4","1157","Overall","Overall","ADDEPEV2","15","15","","","","","",""
"2118387","2013","IL","Illinois","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","BRFSS","%","Crude Prevalence","15.4","","","14.1","16.7","921","Overall","Overall","ADDEPEV2","16","16","","","","","",""
