"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2937594";"2014";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.1";"";"";"19.9";"22.4";"1961";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"2938027";"2014";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.4";"";"";"13.9";"16.9";"717";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"2938522";"2014";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.7";"";"";"17.6";"19.8";"2809";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"2938256";"2014";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.5";"";"";"19.6";"23.3";"1111";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"2938575";"2014";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"13.1";"";"";"12.3";"14.0";"1317";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"2938307";"2014";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.9";"";"";"16.1";"17.7";"2301";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"2938819";"2014";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.2";"";"";"16.9";"19.5";"1440";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"2938942";"2014";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.3";"";"";"16.4";"20.1";"802";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
"2938386";"2014";"DC";"District of Columbia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.1";"";"";"16.1";"20.2";"664";"Overall";"Overall";"ADDEPEV2";"11";"11";"";"";"";"";"";""
"2939122";"2014";"FL";"Florida";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.9";"";"";"14.9";"17.0";"1640";"Overall";"Overall";"ADDEPEV2";"12";"12";"";"";"";"";"";""
"2939707";"2014";"GA";"Georgia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.1";"";"";"16.8";"19.4";"1243";"Overall";"Overall";"ADDEPEV2";"13";"13";"";"";"";"";"";""
"2939943";"2014";"HI";"Hawaii";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"10.7";"";"";"9.7";"11.7";"924";"Overall";"Overall";"ADDEPEV2";"14";"14";"";"";"";"";"";""
"2939264";"2014";"ID";"Idaho";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"19.6";"";"";"18.0";"21.2";"1117";"Overall";"Overall";"ADDEPEV2";"15";"15";"";"";"";"";"";""
"2939994";"2014";"IL";"Illinois";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.6";"";"";"15.2";"18.1";"820";"Overall";"Overall";"ADDEPEV2";"16";"16";"";"";"";"";"";""
"2939312";"2014";"IN";"Indiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"20.8";"";"";"19.7";"21.9";"2323";"Overall";"Overall";"ADDEPEV2";"17";"17";"";"";"";"";"";""
"2940141";"2014";"IA";"Iowa";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.9";"";"";"17.7";"20.2";"1460";"Overall";"Overall";"ADDEPEV2";"18";"18";"";"";"";"";"";""
"2939460";"2014";"KS";"Kansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.6";"";"";"17.7";"19.4";"2589";"Overall";"Overall";"ADDEPEV2";"19";"19";"";"";"";"";"";""
